2022-07-21 17:01:22,457 [ERROR] [TextLayover.py run 50] || 27585 139861507958528 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,457 [ERROR] [TextLayover.py run 50] || 27585 139861484447488 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,475 [ERROR] [TextLayover.py run 50] || 27585 139861977720576 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,484 [ERROR] [TextLayover.py run 50] || 27585 139861947483904 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,496 [ERROR] [TextLayover.py run 50] || 27585 139861851895552 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,511 [ERROR] [TextLayover.py run 50] || 27585 139861326726912 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,514 [ERROR] [TextLayover.py run 50] || 27585 139862533011200 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,527 [ERROR] [TextLayover.py run 50] || 27585 139861969327872 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,542 [ERROR] [TextLayover.py run 50] || 27585 139861365356288 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,546 [ERROR] [TextLayover.py run 50] || 27585 139861986113280 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,554 [ERROR] [TextLayover.py run 50] || 27585 139859503085312 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,566 [ERROR] [TextLayover.py run 50] || 27585 139859494692608 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,577 [ERROR] [TextLayover.py run 50] || 27585 139861828384512 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,581 [ERROR] [TextLayover.py run 50] || 27585 139859486299904 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,586 [ERROR] [TextLayover.py run 50] || 27585 139859477907200 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,641 [ERROR] [TextLayover.py run 50] || 27585 139859469514496 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,670 [ERROR] [TextLayover.py run 50] || 27585 139859075262208 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,686 [ERROR] [TextLayover.py run 50] || 27585 139861492840192 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,721 [ERROR] [TextLayover.py run 50] || 27585 139859083654912 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,725 [ERROR] [TextLayover.py run 50] || 27585 139862992783104 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,729 [ERROR] [TextLayover.py run 50] || 27585 139861516351232 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,751 [ERROR] [TextLayover.py run 50] || 27585 139862254548736 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,773 [ERROR] [TextLayover.py run 50] || 27585 139861460936448 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:22,777 [ERROR] [TextLayover.py run 50] || 27585 139863034730240 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:23,119 [ERROR] [TextLayover.py run 50] || 27585 139862254548736 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:23,122 [ERROR] [TextLayover.py run 50] || 27585 139862668465920 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:23,122 [ERROR] [TextLayover.py run 50] || 27585 139862992783104 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:23,132 [ERROR] [TextLayover.py run 50] || 27585 139863076677376 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:23,135 [ERROR] [TextLayover.py run 50] || 27585 139861460936448 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:23,138 [ERROR] [TextLayover.py run 50] || 27585 139862950835968 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

2022-07-21 17:01:23,153 [ERROR] [TextLayover.py run 50] || 27585 139862554195712 || Error while modifying image: OpenCV(4.6.0) /io/opencv/modules/imgproc/src/demosaicing.cpp:1699: error: (-215:Assertion failed) scn == 1 && dcn == 1 in function 'demosaicing'

